product_type,size_inches,quantity,base_price,total_price,price_per_sticker,discount_multiplier,rush_multiplier
vinyl_stickers,1,50,0.50,34.00,0.68,1.0,1.4
vinyl_stickers,1,100,0.50,44.00,0.44,0.647,1.4
vinyl_stickers,1,200,0.50,63.00,0.315,0.463,1.4
vinyl_stickers,1,300,0.50,79.50,0.265,0.39,1.4
vinyl_stickers,1,500,0.50,110.00,0.22,0.324,1.4
vinyl_stickers,1,750,0.50,165.00,0.22,0.324,1.4
vinyl_stickers,1,1000,0.50,175.00,0.175,0.257,1.4
vinyl_stickers,1,2500,0.50,362.50,0.145,0.213,1.4
vinyl_stickers,2,50,0.50,136.00,2.72,1.0,1.4
vinyl_stickers,2,100,0.50,176.00,1.76,0.647,1.4
vinyl_stickers,2,200,0.50,252.00,1.26,0.463,1.4
vinyl_stickers,2,300,0.50,318.00,1.06,0.39,1.4
vinyl_stickers,2,500,0.50,440.00,0.88,0.324,1.4
vinyl_stickers,2,750,0.50,660.00,0.88,0.324,1.4
vinyl_stickers,2,1000,0.50,700.00,0.70,0.257,1.4
vinyl_stickers,2,2500,0.50,1450.00,0.58,0.213,1.4
vinyl_stickers,3,50,0.50,306.00,6.12,1.0,1.4
vinyl_stickers,3,100,0.50,396.00,3.96,0.647,1.4
vinyl_stickers,3,200,0.50,567.00,2.835,0.463,1.4
vinyl_stickers,3,300,0.50,715.50,2.385,0.39,1.4
vinyl_stickers,3,500,0.50,990.00,1.98,0.324,1.4
vinyl_stickers,3,750,0.50,1485.00,1.98,0.324,1.4
vinyl_stickers,3,1000,0.50,1575.00,1.575,0.257,1.4
vinyl_stickers,3,2500,0.50,3262.50,1.305,0.213,1.4
vinyl_stickers,4,50,0.50,544.00,10.88,1.0,1.4
vinyl_stickers,4,100,0.50,704.00,7.04,0.647,1.4
vinyl_stickers,4,200,0.50,1008.00,5.04,0.463,1.4
vinyl_stickers,4,300,0.50,1272.00,4.24,0.39,1.4
vinyl_stickers,4,500,0.50,1760.00,3.52,0.324,1.4
vinyl_stickers,4,750,0.50,2640.00,3.52,0.324,1.4
vinyl_stickers,4,1000,0.50,2800.00,2.80,0.257,1.4
vinyl_stickers,4,2500,0.50,5800.00,2.32,0.213,1.4
vinyl_stickers,5,50,0.50,850.00,17.00,1.0,1.4
vinyl_stickers,5,100,0.50,1100.00,11.00,0.647,1.4
vinyl_stickers,5,200,0.50,1575.00,7.875,0.463,1.4
vinyl_stickers,5,300,0.50,1987.50,6.625,0.39,1.4
vinyl_stickers,5,500,0.50,2750.00,5.50,0.324,1.4
vinyl_stickers,5,750,0.50,4125.00,5.50,0.324,1.4
vinyl_stickers,5,1000,0.50,4375.00,4.375,0.257,1.4
vinyl_stickers,5,2500,0.50,9062.50,3.625,0.213,1.4
vinyl_stickers,6,50,0.50,1224.00,24.48,1.0,1.4
vinyl_stickers,6,100,0.50,1584.00,15.84,0.647,1.4
vinyl_stickers,6,200,0.50,2268.00,11.34,0.463,1.4
vinyl_stickers,6,300,0.50,2862.00,9.54,0.39,1.4
vinyl_stickers,6,500,0.50,3960.00,7.92,0.324,1.4
vinyl_stickers,6,750,0.50,5940.00,7.92,0.324,1.4
vinyl_stickers,6,1000,0.50,6300.00,6.30,0.257,1.4
vinyl_stickers,6,2500,0.50,13050.00,5.22,0.213,1.4 